fecha,id_tienda,id_producto,promocion_activa,descuento_pct
2025-01-03,1,103,0,0
2025-01-03,1,104,0,0
2025-01-03,1,105,0,0
2025-01-03,1,106,0,0
2025-01-03,1,107,1,25
2025-01-03,1,108,0,0
2025-01-03,1,109,0,0
2025-01-03,1,110,0,0
2025-01-03,1,111,1,20
2025-01-03,1,112,0,0
2025-01-03,1,113,0,0
2025-01-03,1,114,0,0
2025-01-03,1,115,1,5
2025-01-03,1,201,0,0
2025-01-03,1,202,1,25
2025-01-03,1,203,0,0
2025-01-03,1,204,0,0
2025-01-03,1,205,1,25
2025-01-03,1,206,1,5
2025-01-03,1,207,1,10
2025-01-03,1,208,0,0
2025-01-03,1,209,0,0
2025-01-03,1,301,0,0
2025-01-03,1,302,0,0
2025-01-03,1,303,1,10
2025-01-03,1,304,1,10
2025-01-03,1,305,0,0
2025-01-03,1,306,0,0
2025-01-03,1,307,0,0
2025-01-03,1,308,0,0
2025-01-03,1,309,1,25
2025-01-03,1,310,1,10
2025-01-03,1,401,0,0
2025-01-03,1,402,0,0
2025-01-03,1,403,0,0
2025-01-03,1,404,0,0
2025-01-03,1,405,0,0
2025-01-03,1,406,0,0
2025-01-03,1,407,0,0
2025-01-03,1,501,0,0
2025-01-03,1,502,0,0
2025-01-03,1,503,0,0
2025-01-03,1,504,1,20
2025-01-03,1,505,0,0
2025-01-03,2,103,0,0
2025-01-03,2,104,0,0
2025-01-03,2,105,1,10
2025-01-03,2,106,0,0
2025-01-03,2,107,1,10
2025-01-03,2,108,0,0
2025-01-03,2,109,1,10
2025-01-03,2,110,0,0
2025-01-03,2,111,1,20
2025-01-03,2,112,1,25
2025-01-03,2,113,1,20
2025-01-03,2,114,0,0
2025-01-03,2,115,1,25
2025-01-03,2,201,1,15
2025-01-03,2,202,0,0
2025-01-03,2,203,0,0
2025-01-03,2,204,0,0
2025-01-03,2,205,0,0
2025-01-03,2,206,1,5
2025-01-03,2,207,1,15
2025-01-03,2,208,0,0
2025-01-03,2,209,1,25
2025-01-03,2,301,1,5
2025-01-03,2,302,0,0
2025-01-03,2,303,1,10
2025-01-03,2,304,1,10
2025-01-03,2,305,1,5
2025-01-03,2,306,0,0
2025-01-03,2,307,1,25
2025-01-03,2,308,0,0
2025-01-03,2,309,0,0
2025-01-03,2,310,0,0
2025-01-03,2,401,0,0
2025-01-03,2,402,1,15
2025-01-03,2,403,0,0
2025-01-03,2,404,1,20
2025-01-03,2,405,1,5
2025-01-03,2,406,1,20
2025-01-03,2,407,1,10
2025-01-03,2,501,0,0
2025-01-03,2,502,0,0
2025-01-03,2,503,1,25
2025-01-03,2,504,1,10
2025-01-03,2,505,0,0
2025-01-03,3,103,0,0
2025-01-03,3,104,1,10
2025-01-03,3,105,0,0
2025-01-03,3,106,0,0
2025-01-03,3,107,0,0
2025-01-03,3,108,0,0
2025-01-03,3,109,1,10
2025-01-03,3,110,1,15
2025-01-03,3,111,0,0
2025-01-03,3,112,0,0
2025-01-03,3,113,0,0
2025-01-03,3,114,1,25
2025-01-03,3,115,0,0
2025-01-03,3,201,0,0
2025-01-03,3,202,1,5
2025-01-03,3,203,0,0
2025-01-03,3,204,1,25
2025-01-03,3,205,1,10
2025-01-03,3,206,1,10
2025-01-03,3,207,0,0
2025-01-03,3,208,1,25
2025-01-03,3,209,0,0
2025-01-03,3,301,1,10
2025-01-03,3,302,1,20
2025-01-03,3,303,0,0
2025-01-03,3,304,1,15
2025-01-03,3,305,0,0
2025-01-03,3,306,0,0
2025-01-03,3,307,0,0
2025-01-03,3,308,1,10
2025-01-03,3,309,0,0
2025-01-03,3,310,0,0
2025-01-03,3,401,0,0
2025-01-03,3,402,0,0
2025-01-03,3,403,1,5
2025-01-03,3,404,0,0
2025-01-03,3,405,1,25
2025-01-03,3,406,1,25
2025-01-03,3,407,0,0
2025-01-03,3,501,1,5
2025-01-03,3,502,0,0
2025-01-03,3,503,0,0
2025-01-03,3,504,1,25
2025-01-03,3,505,0,0
2025-01-04,1,103,1,20
2025-01-04,1,104,0,0
2025-01-04,1,105,0,0
2025-01-04,1,106,1,20
2025-01-04,1,107,0,0
2025-01-04,1,108,0,0
2025-01-04,1,109,0,0
2025-01-04,1,110,0,0
2025-01-04,1,111,0,0
2025-01-04,1,112,1,5
2025-01-04,1,113,0,0
2025-01-04,1,114,1,25
2025-01-04,1,115,0,0
2025-01-04,1,201,0,0
2025-01-04,1,202,1,10
2025-01-04,1,203,0,0
2025-01-04,1,204,0,0
2025-01-04,1,205,1,15
2025-01-04,1,206,0,0
2025-01-04,1,207,1,10
2025-01-04,1,208,0,0
2025-01-04,1,209,0,0
2025-01-04,1,301,0,0
2025-01-04,1,302,0,0
2025-01-04,1,303,0,0
2025-01-04,1,304,0,0
2025-01-04,1,305,1,5
2025-01-04,1,306,0,0
2025-01-04,1,307,0,0
2025-01-04,1,308,1,25
2025-01-04,1,309,1,25
2025-01-04,1,310,1,20
2025-01-04,1,401,1,5
2025-01-04,1,402,0,0
2025-01-04,1,403,1,20
2025-01-04,1,404,1,25
2025-01-04,1,405,1,15
2025-01-04,1,406,1,15
2025-01-04,1,407,1,15
2025-01-04,1,501,1,10
2025-01-04,1,502,0,0
2025-01-04,1,503,1,20
2025-01-04,1,504,0,0
2025-01-04,1,505,0,0
2025-01-04,2,103,0,0
2025-01-04,2,104,0,0
2025-01-04,2,105,1,5
2025-01-04,2,106,1,5
2025-01-04,2,107,1,5
2025-01-04,2,108,1,10
2025-01-04,2,109,1,25
2025-01-04,2,110,1,25
2025-01-04,2,111,1,25
2025-01-04,2,112,0,0
2025-01-04,2,113,1,15
2025-01-04,2,114,0,0
2025-01-04,2,115,1,5
2025-01-04,2,201,1,5
2025-01-04,2,202,0,0
2025-01-04,2,203,0,0
2025-01-04,2,204,0,0
2025-01-04,2,205,1,20
2025-01-04,2,206,0,0
2025-01-04,2,207,1,20
2025-01-04,2,208,1,25
2025-01-04,2,209,1,20
2025-01-04,2,301,0,0
2025-01-04,2,302,1,20
2025-01-04,2,303,0,0
2025-01-04,2,304,1,5
2025-01-04,2,305,1,15
2025-01-04,2,306,0,0
2025-01-04,2,307,0,0
2025-01-04,2,308,1,20
2025-01-04,2,309,0,0
2025-01-04,2,310,1,25
2025-01-04,2,401,0,0
2025-01-04,2,402,0,0
2025-01-04,2,403,0,0
2025-01-04,2,404,0,0
2025-01-04,2,405,0,0
2025-01-04,2,406,0,0
2025-01-04,2,407,0,0
2025-01-04,2,501,0,0
2025-01-04,2,502,1,5
2025-01-04,2,503,0,0
2025-01-04,2,504,0,0
2025-01-04,2,505,0,0
2025-01-04,3,103,1,10
2025-01-04,3,104,1,15
2025-01-04,3,105,0,0
2025-01-04,3,106,0,0
2025-01-04,3,107,0,0
2025-01-04,3,108,0,0
2025-01-04,3,109,1,20
2025-01-04,3,110,0,0
2025-01-04,3,111,0,0
2025-01-04,3,112,0,0
2025-01-04,3,113,0,0
2025-01-04,3,114,0,0
2025-01-04,3,115,0,0
2025-01-04,3,201,0,0
2025-01-04,3,202,1,5
2025-01-04,3,203,1,15
2025-01-04,3,204,1,20
2025-01-04,3,205,1,5
2025-01-04,3,206,0,0
2025-01-04,3,207,1,10
2025-01-04,3,208,0,0
2025-01-04,3,209,0,0
2025-01-04,3,301,0,0
2025-01-04,3,302,1,5
