fecha,id_tienda,id_producto,unidades_vendidas,precio_unitario
2025-01-03,1,103,28,1.8
2025-01-03,1,104,26,3.5
2025-01-03,1,105,14,1.25
2025-01-03,1,106,18,7.5
2025-01-03,1,107,13,3.0
2025-01-03,1,108,33,3.2
2025-01-03,1,109,18,8.5
2025-01-03,1,110,18,5.5
2025-01-03,1,111,26,2.0
2025-01-03,1,112,32,1.8
2025-01-03,1,113,27,1.5
2025-01-03,1,114,7,2.0
2025-01-03,1,115,5,1.66
2025-01-03,1,201,33,2.0
2025-01-03,1,202,14,1.12
2025-01-03,1,203,13,1.75
2025-01-03,1,204,26,3.5
2025-01-03,1,205,6,1.35
2025-01-03,1,206,20,2.09
2025-01-03,1,207,12,2.07
2025-01-03,1,208,30,1.9
2025-01-03,1,209,10,1.6
2025-01-03,1,301,21,2.5
2025-01-03,1,302,13,3.0
2025-01-03,1,303,4,2.48
2025-01-03,1,304,19,1.08
2025-01-03,1,305,15,1.8
2025-01-03,1,306,4,2.5
2025-01-03,1,307,11,1.4
2025-01-03,1,308,4,3.2
2025-01-03,1,309,28,6.0
2025-01-03,1,310,13,2.52
2025-01-03,1,401,15,3.25
2025-01-03,1,402,33,1.0
2025-01-03,1,403,21,4.5
2025-01-03,1,404,8,5.0
2025-01-03,1,405,33,0.75
2025-01-03,1,406,27,0.9
2025-01-03,1,407,11,6.0
2025-01-03,1,501,16,3.5
2025-01-03,1,502,17,2.0
2025-01-03,1,503,9,1.5
2025-01-03,1,504,35,3.2
2025-01-03,1,505,10,3.0
2025-01-03,2,103,6,1.8
2025-01-03,2,104,25,3.5
2025-01-03,2,105,11,1.12
2025-01-03,2,106,18,7.5
2025-01-03,2,107,30,3.6
2025-01-03,2,108,26,3.2
2025-01-03,2,109,33,7.65
2025-01-03,2,110,18,5.5
2025-01-03,2,111,15,2.0
2025-01-03,2,112,9,1.35
2025-01-03,2,113,7,1.2
2025-01-03,2,114,29,2.0
2025-01-03,2,115,30,1.31
2025-01-03,2,201,33,1.7
2025-01-03,2,202,18,1.5
2025-01-03,2,203,33,1.75
2025-01-03,2,204,10,3.5
2025-01-03,2,205,27,1.8
2025-01-03,2,206,19,2.09
2025-01-03,2,207,12,1.95
2025-01-03,2,208,9,1.9
2025-01-03,2,209,7,1.2
2025-01-03,2,301,5,2.38
2025-01-03,2,302,13,3.0
2025-01-03,2,303,5,2.48
2025-01-03,2,304,23,1.08
2025-01-03,2,305,4,1.71
2025-01-03,2,306,12,2.5
2025-01-03,2,307,10,1.05
2025-01-03,2,308,18,3.2
2025-01-03,2,309,10,8.0
2025-01-03,2,310,25,2.8
2025-01-03,2,401,18,3.25
2025-01-03,2,402,34,0.85
2025-01-03,2,403,31,4.5
2025-01-03,2,404,24,4.0
2025-01-03,2,405,14,0.71
2025-01-03,2,406,14,0.72
2025-01-03,2,407,10,5.4
2025-01-03,2,501,5,3.5
